2000026778 = Verdict: Unsolved ; Iters: 11751311 ; Length: -1
2000066259 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2000282131 = Verdict: Unsolved ; Iters: 14221743 ; Length: -1
2000361951 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2000540352 = Verdict: Unsolved ; Iters: 12808763 ; Length: -1
2000589736 = Verdict: Unsolved ; Iters: 12181632 ; Length: -1
2000716979 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2000724817 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2000763947 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2000846524 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2001006520 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2001427858 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2001476899 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2001605982 = Verdict: Unsolved ; Iters: 10467003 ; Length: -1
2001629286 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2001693435 = Verdict: Unsolved ; Iters: 17561774 ; Length: -1
2001827106 = Verdict: Unsolved ; Iters: 12853300 ; Length: -1
2001920797 = Verdict: Unsolved ; Iters: 18003865 ; Length: -1
2001995911 = Verdict: Unsolved ; Iters: 14597352 ; Length: -1
2002079336 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2002082019 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2002109802 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2002183812 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2002241913 = Verdict: Unsolved ; Iters: 10449053 ; Length: -1
2002327177 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2002331321 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2002378083 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2002430157 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2002482639 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2002621393 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2002903759 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2002908136 = Verdict: Unsolved ; Iters: 16233060 ; Length: -1
2002980219 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2003008874 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2003093648 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2003112258 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2003160353 = Verdict: Unsolved ; Iters: 10144044 ; Length: -1
2003343359 = Verdict: Unsolved ; Iters: 13934618 ; Length: -1
2003481737 = Verdict: Unsolved ; Iters: 14951018 ; Length: -1
2003547493 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2003644961 = Verdict: Unsolved ; Iters: 12419971 ; Length: -1
2003727560 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2003736899 = Verdict: Unsolved ; Iters: 12920916 ; Length: -1
2003749499 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2003828246 = Verdict: Unsolved ; Iters: 15890694 ; Length: -1
2003889155 = Verdict: Unsolved ; Iters: 18558711 ; Length: -1
2003984535 = Verdict: Unsolved ; Iters: 13752455 ; Length: -1
2004055307 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2004500308 = Verdict: Unsolved ; Iters: 10798155 ; Length: -1
2004548565 = Verdict: Unsolved ; Iters: 17869088 ; Length: -1
2004551207 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2004579076 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2004595236 = Verdict: Unsolved ; Iters: 13195400 ; Length: -1
2004704175 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2004806906 = Verdict: Unsolved ; Iters: 18001511 ; Length: -1
2004889770 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2004909536 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2005016770 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2005051902 = Verdict: Unsolved ; Iters: 15289169 ; Length: -1
2005125577 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2005152541 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2005312324 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2005354047 = Verdict: Unsolved ; Iters: 11116398 ; Length: -1
2005416352 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2005456587 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2005462627 = Verdict: Unsolved ; Iters: 13749601 ; Length: -1
2005469575 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2005752948 = Verdict: Unsolved ; Iters: 14463983 ; Length: -1
2006040570 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2006060482 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2006089966 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2006104370 = Verdict: Unsolved ; Iters: 11710244 ; Length: -1
2006165708 = Verdict: Unsolved ; Iters: 14964419 ; Length: -1
2006169166 = Verdict: Unsolved ; Iters: 15805234 ; Length: -1
2006248602 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2006358233 = Verdict: Unsolved ; Iters: 17199194 ; Length: -1
2006372344 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2006404621 = Verdict: Unsolved ; Iters: 10018823 ; Length: -1
2006434336 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2006446228 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2006551508 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2006584641 = Verdict: Unsolved ; Iters: 14586529 ; Length: -1
2006594227 = Verdict: Unsolved ; Iters: 14090148 ; Length: -1
2006636366 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2006877726 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2006971511 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
